Group.1	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55
12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.625	0.916666666666667	0.0833333333333333	0.0416666666666667	0	0	0	0	0.875	0.333333333333333	0.125	0.5	1	0	0	0	0	0	1	0	0	1	1	0.0833333333333333	0	0	0	0	0	0	0.0833333333333333	1	0	0	0	0	0	0	0	0	0
14	15	0	0.125	0	0	0.0416666666666667	0	0	0	0	0	0	0	0	0.0416666666666667	0.166666666666667	0.583333333333333	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0833333333333333	0.208333333333333	0.5	0.333333333333333	0	0.0833333333333333	0.916666666666667	0	0	0	0	0	1	0	0	0.916666666666667	1	0	0	0	0.0416666666666667	0	0	0	0	0.958333333333333	0	0	0	0	0	0	0.25	0	0
15	16	0.857142857142857	0.904761904761905	0	0	0.0476190476190476	0	0	0.904761904761905	0	0	0	0	0	0	0	0.0952380952380952	0	0	0	0	0.0476190476190476	0	0.380952380952381	0.952380952380952	0	0	1	0.904761904761905	0.761904761904762	0	0	0.142857142857143	1	0	0	1	1	0	0	0	0	0	0	0.142857142857143	0	1	0.0476190476190476	0	0.904761904761905	0	0	0	0.904761904761905	0	0
16	17	0.85	0.9	0	0	0	0	0	0.9	0	0	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0.3	0.9	0	0	0.95	0.9	0.8	0	0	0.1	1	0	0	0.95	1	0	0	0	0	0	0	0.05	0	0.95	0	0	0.85	0	0	0	0.95	0	0
17	18	0	0.0869565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0.0869565217391304	0.608695652173913	0	0.0434782608695652	0.217391304347826	0.217391304347826	0	0	0.521739130434783	0.434782608695652	0.0434782608695652	0	0.956521739130435	0	0	0	0	0	1	0	0	0.956521739130435	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.173913043478261	0	0
18	19	0.909090909090909	0.954545454545455	0	0	0.0454545454545455	0	0	0.954545454545455	0	0	0	0	0	0	0	0.0454545454545455	0.136363636363636	0	0	0	0	0	0.272727272727273	0.909090909090909	0.0454545454545455	0	0.954545454545455	0.954545454545455	0.863636363636364	0	0	0.0454545454545455	1	0	0	0.954545454545455	1	0	0.0909090909090909	0	0	0	0	0	0	0.954545454545455	0	0	0.818181818181818	0	0	0	0.954545454545455	0	0
19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111111111	0.666666666666667	0.666666666666667	0.333333333333333	0.111111111111111	0	0	0	0.111111111111111	0.777777777777778	0.333333333333333	0	0.111111111111111	0.888888888888889	0	0	0	0	0	1	0	0	0.888888888888889	1	0	0	0	0.111111111111111	0	0	0	0	0.888888888888889	0	0	0	0	0	0	0	0	0
20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0.533333333333333	0.533333333333333	0.133333333333333	0.266666666666667	0.0666666666666667	0	0	0.0666666666666667	0.533333333333333	0.266666666666667	0	0.0666666666666667	0.933333333333333	0	0	0	0	0	1	0	0	0.933333333333333	1	0	0	0	0.0666666666666667	0	0	0	0	1	0	0	0	0	0	0	0.0666666666666667	0	0
21	23	0.166666666666667	0.166666666666667	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0.444444444444444	0.0555555555555556	0	0	0	0	0	0.0555555555555556	0.5	0	0	1	0	0	0	0	0.166666666666667	1	0	0.166666666666667	1	1	0	0.222222222222222	0	0	0	0	0	0	1	0	0	0.944444444444444	0	0	0	0.777777777777778	0	0
